40,"0126,0224,0528,0530,0716",アマリリス,amaryllis,
41,"0126,0131",オジギソウ,ojigisou,
42,0126,カロライナジャスミン,carolina-jasmine-hanakotoba,
43,0127,プルメリア,plumeria,
44,"0127,0524",ヘリオトロープ,heliotrope,
45,"0127,1113,1118",ナナカマド,nanakamado,
46,"0128,0221",ネモフィラ,nemophila,",8,"
47,"0128,0324",カタクリ,katakuri,
48,"0128,0626",ガザニア,gazania,
49,"0130,0226",ムスカリ,muscari,",11,"
50,"0201,0205,0428,0518",サクラソウ,sakurasou,
51,"0202,0410,0525,1227",パンジー,pansy,
52,"0203,1210",ツバキ,tsubaki,
53,"0204,0205,0217",ボケ,boke,
54,"0205,0307,0409",オキナグサ,okinagusa,
55,0206,ナノハナ,nanohana,",12,13,"
56,"0206,0425",ブルーベル,bluebell,
57,"0207,0229,0315,0405",ワスレナグサ,wasurenagusa,
58,"0207,0411",ヒヤシンス,hyacinth,",11,"
59,"0208,0514,0724",シャクヤク,shakuyaku,",7,"
60,"0208,1206",ユキノシタ,yukinoshita,
61,0208,ホトケノザ,hotokenoza,
62,"0210,0223,1215",ジンチョウゲ,jinchouge,
63,"0210,0323",ヒマラヤユキノシタ,himarayayukinoshita,
64,"0211,0801,1012",ガーベラ,gerbera,",1,2,3,4,5,7,8,10,11,13,17,19,"
65,0211,オオイヌノフグリ,ooinunofuguri,
66,"0211,0220,0430",カルミア,kalmia,",7,"
67,"0212,0322",レンギョウ,rengyou,
68,"0212,1224,1225",ヤドリギ,yadorigi,
69,"0213,0501,0818",エーデルワイス,edelweiss,
70,"0213,0222,0226,0627",ローダンセ,rhodanthe,
71,"0214,0314,1103",カモミール,chamomile,
72,"0214,0409",ミモザ（アカシア）,mimosa,
73,"0214,1202,1223",シネラリア,cneraria,
74,"0215,0306",デイジー,daisy,",6,"
75,"0215,0320",ミツマタ,mitsumata,
76,"0216,0228",ゲッケイジュ,laurel,
77,"0216,1124,1222",セントポーリア,saintpaulia,
78,"0218,0219,0313,0323,0329,0503",タンポポ,tanpopo,
79,"0218,0313,0325,0418",アルストロメリア,alstroemeria,",1,2,4,8,11,13,19,"
80,"0220,0508",シャクナゲ,shakunage,
81,"0222,0322,0826,0911",ムクゲ,mukuge,
82,0222,ウスベニタチアオイ,marsh-mallow,
83,0223,ポピー,poppy,",4,5,"
84,"0223,0301,0412,1002",アンズ,apricot,
85,"0224,0410",ツルニチニチソウ,tsurunichinichisou,
86,"0225,1211",カランコエ,kalanchoe,",6,"
87,"0225,0619,0714,0715,1225",バラ,bara,",1,2,4,5,6,7,8,10,11,13,17,18,19,20,"
88,"0225,0612",ユッカ,yucca,",3,20,"
89,0227,オーニソガラム,ornithogalum,
90,"0227,0531",シラー,scilla,
91,0228,ヘリクリサム,strawflower,
92,"0229,0302,0330",アルメリア,thrift,
93,"0229,1222",カネノナルキ,kanenonaruki,
94,"0301,0305,0322,0802",ヤグルマギク,yagurumagiku,
95,"0303,0412",モモ,peach,",12,"
96,"0303,0322,0408,0831",レンゲソウ,rengeso,
97,"0304,0808",アザレア,azalea,
98,"0304,0530",ペラルゴニウム,fancy-geranium,
99,0304,ムラサキケマン,murasaki-keman,
100,"0305,0315",クンシラン,kunshiran,
101,"0305,0410",リナリア,linaria,
102,"0306,0312",ツクシ,tsukushi,
103,"0307,0423,0515,0708",カンパニュラ,campanula,",4,"
104,0307,ニリンソウ,nirinsou,
105,"0308,0331,0421,0529",ニゲラ,nigella,
106,"0308,0414",ブルースター,tweedia,",5,6,10,"
107,"0308,0324",コブシ,kobushi,
108,0309,アセビ,asebi,
109,"0310,0317,0531,1102",ルピナス,lupine,",4,"
110,"0310,0520",シャスタ・デイジー,shasta-daisy,
111,"0311,0324,0513",ハナビシソウ,california-poppy,
112,"0312,0330,0414",エニシダ,enishida,
113,0313,イカリソウ,ikarisou,
114,"0314,1225",ブルーデイジー,bluedaisy,
115,"0315,0322",イベリス,iberis,
116,"0315,0607,1004",ホワイトレースフラワー,whitelaceflower,",4,6,"
117,0316,ハナズオウ,hanazuou,
118,"0316,0325,0405,0408",ハナカイドウ,hanakaidou,
119,0318,ハナミズキ,hanamizuki,
120,0318,トサミズキ,tosamizuki,
121,"0319,0419,0918,1021",アザミ,azami,
122,"0320,0609",スイートピー,sweetpea,",1,2,4,8,10,11,13,17,19,"
123,"0321,0425",バイモ,baimo,
124,0322,チューリップ,tulip,",1,5,6,7,10,11,12,17,"
125,"0323,0419",デルフィニウム,delphinium,",8,14,15,"
126,"0323,0614,0713,1126",グラジオラス,gladiolus,
127,0326,ハナニラ,hananira,
128,"0327,0523,0613",ジギタリス,digitalis,
129,"0327,0613",ブライダルベール,bridalveil,
130,"0328,0504",ヤマブキ,yamabuki,
131,"0328,0426,0527",エビネ,ebine-hanakotoba,
132,0329,ゴボウ,gobou,
133,0329,ワイルドストロベリー,wildstrawberry,
134,"0329,0404",スモモ,sumomo,
135,"0331,0413",イチゴ,ichigo,",6,"
136,"0401,0409,0421",サクラ,sakura,",11,12,"
137,0402,クローバー,clover,
138,"0403,0424,0526,0628,0727,0811",ゼラニウム,geranium,",4,"
139,"0403,0407,1114",アジアンタム,adiantum,
140,"0403,0410,0422,0829,1128",エゾギク（アスター）,ezogiku,
141,"0404,0521,0601,1130",カスミソウ,kasumisou,",1,5,6,7,8,10,13,16,17,19,"
142,"0405,0429,0531",フジ,fuji,
143,"0406,0511,0906",ナスタチウム,nasturtium,
144,"0407,0420,0629",ディモルフォセカ,dimorphotheca,
145,"0408,0420",シバザクラ,shibazakura,
146,"0408,0511,0929",リンゴ,apple,
147,"0413,0614,0726",ハルシャギク,coreopsis,
148,0414,ドウダンツツジ,doudantsutsuji,
149,"0414,1212",ハルジオン,harujion,
150,"0414,0604",ウツギ,utsugi,
151,"0415,0523",ゴデチア,godetia,
152,"0416,0422",ムシトリナデシコ,catchfly,
153,0416,レンゲツツジ,japanese-azalea,
154,"0417,0505,0510,0606",アヤメ（アイリス）,iris,",13,"
155,0417,ポトス,pothos,
156,"0417,0521,0726",ラークスパー,larkspur,
157,"0419,0430",イチハツ,ichihatsu,
158,"0420,0430",ナシ,nashi,
159,"0420,0516",イキシア,ixia,
160,0424,コデマリ,kodemari,
161,"0426,0630",スカビオサ,scabiosa,
162,0426,アジュガ,ajuga-hanakotoba,
163,0427,シャガ,shaga,
164,"0428,0518",バイカウツギ,baikautsugi,
165,"0501,0502,0528",スズラン,suzuran,",2,5,6,7,"
166,"0501,0522",ミツバツツジ,mitsubatsutsuji,
167,"0502,0714,0804",フロックス,phlox,
168,"0503,0509,0701,0702,0912",クレマチス,clematis,
169,0503,ミズバショウ,mizubashou,
170,"0504,0704",ストケシア,stokesia,
171,"0504,1007,1022",ミニバラ,miniature-rose,",1,"
172,"0506,0607,0630,0707",クチナシ,kuchinashi,
173,"0507,1117",スターチス,statice,",5,15,"
174,0507,エゴノキ,egonoki-hanakotoba,
175,"0508,1121",ベルフラワー,bellflower,",4,"
176,0509,キリ,kiri,
177,"0510,0914,1024,1029",アゲラタム,ageratum,
178,"0512,0601,0621",アスチルベ,astilbe,
179,"0512,0613,0929,1026",ツンベルギア,thunbergia,
180,0513,サンザシ,sanzashi,
181,0515,ドクダミ,dokudami,
182,"0516,0723",アリウム,allium,
183,"0517,0530,1020",エキザカム,exacum,
184,"0518,0722,0925,1030",ペチュニア,petunia,
185,0519,サツキ,satsuki,
186,0519,ブラシノキ,burashinoki,
187,0520,カタバミ,katabami,
188,"0525,1231",ユズ,yuzu,
189,"0525,0910",ヒソップ,hyssop,
190,0526,オリーブ,olive,
191,"0526,1128",サンダーソニア,sandersonia,",13,"
192,"0527,0601",マトリカリア,matricaria,
193,0527,オオデマリ,oodemari,
194,"0528,1019",グロリオサ,gloriosa,",2,4,8,"
195,"0528,0616,0620",ベロニカ,veronica,
196,0529,オダマキ,odamaki,
197,"0530,1130",アツモリソウ,atsumorisou,
198,"0602,0618",タイム,thyme,
199,0603,アジサイ,ajisai,",6,"
200,"0603,0622,0630",スイカズラ,suikazura,
201,"0604,0724",ニッコウキスゲ,nikkoukisuge,
202,"0605,0729,0910",ダリア,dahlia,",3,6,7,"
203,"0605,0718",マリーゴールド,marigold,
204,"0605,0710,1126",ホタルブクロ,hotarubukuro,
205,"0606,0705",ペンステモン,penstemon,
206,0607,ツツジ,tsutsuji,
207,0608,ジャスミン,jasmine,
208,0608,タイサンボク,taisanboku,
209,"0610,0711",アカンサス,acanthus,
210,"0611,0629",アガパンサス,agapanthus,
211,0611,ベニバナ,benibana,
212,0612,ライラック,lilac,
213,"0614,1013",シモツケ,shimotsuke,
214,0615,カーネーション,carnation,",1,2,5,6,7,11,13,14,15,16,17,18,19,"
215,0615,ヤマボウシ,yamaboushi,
216,"0616,0902",チューベローズ,tuberose,
217,"0616,0715",ナツツバキ,natsutsubaki,
218,0617,キバナコスモス,kibanakosumosu,
219,"0617,0722",リアトリス,liatris,
220,"0618,0623",タチアオイ,tachiaoi,
221,"0618,0819,0826",スイセンノウ,rose-campion,
222,"0620,1024",クリ,chestnut,
223,"0621,0830",ツキミソウ,tsukimisou,
224,0621,シルクジャスミン,silkjasmine,
225,"0621,0722",マツヨイグサ,matsuyoigusa,
226,"0622,1124",ガマズミ,gamazumi,
227,"0623,0801",ミヤコワスレ,miyakowasure,
228,"0623,0626",ビヨウヤナギ,biyouyanagi,
229,"0624,0718",バーベナ,verbena,
230,"0624,1119",オトギリソウ,otogirisou,
231,"0625,0717",ヒルガオ,hirugao,
232,"0625,0815,0904",モントブレチア,montbretia,
233,"0626,0916,1105",ペンタス,pentas,
234,"0627,1031",カラー,calla,",2,11,"
235,0627,トケイソウ,tokeisou,
236,"0628,0712,0720",トルコキキョウ,lisianthus,",1,4,6,7,10,13,14,16,17,18,19,20,"
237,"0701,0703",ヒメユリ,himeyuri,
238,"0701,0703,1105",マツバギク,matsubagiku,
239,0701,フェイジョア,feijoa,
240,"0703,0708,0815,0926",ハス,hasu,
241,0704,ネジバナ,nejibana,
242,"0705,0710,1203",ラベンダー,lavender,
243,"0705,1030",ロベリア,lobelia,
244,"0705,0907",ハマナス,hamanasu,
245,"0706,0720,0802,0805,0831",ヒマワリ,himawari,",1,4,5,17,"
246,"0706,0801,0806",アサガオ,asagao,
247,"0706,0728",ツユクサ,tsuyukusa,
248,"0706,0717",ハマユウ,hamayuu,
249,0707,アベリア,abelia,
250,"0707,0724",スイレン,suiren,
251,"0707,0828",スグリ,suguri,
252,"0708,1229",ホオズキ,hoozuki,
253,"0709,0730,0823",ボダイジュ,bodaijyu,
254,"0709,0717",ギボウシ,giboushi,
255,0710,グロキシニア,gloxinia,
256,"0711,0810,0831",ハイビスカス,hibiscus,
257,0711,ルリタマアザミ,ruritamaazami,
258,"0712,0802",ノコギリソウ,nokogirisou,
259,0713,ホテイアオイ,hoteiaoi,
260,"0713,0925,1121",ハゲイトウ,hageitou,
261,"0714,0722,0728",ナデシコ,nadeshiko,
262,0714,ノウゼンカズラ,nouzenkazura,
263,"0715,0721,0817",ネムノキ,nemunoki,",9,"
264,"0716,0926,0929",ポーチュラカ,portulaca,
265,"0716,0723",ジンジャー,ginger-lily,
266,"0718,0911",トウワタ,asclepias,
267,"0719,0725",トリカブト,torikabuto,
268,"0719,0823,1029",ゲッカビジン,gekkabijin,
269,"0721,0731,0825",ルドベキア,rudbeckia,
270,0721,ミント,mint,
271,"0723,0810,0824",ルコウソウ,rukousou,
272,0724,ユリ,lily,",1,4,7,13,14,15,16,17,18,20,"
273,0724,ボタン,botan,
274,0725,インパチェンス,impatiens,
275,0726,ブーゲンビリア,bougainvillea,",7,"
276,"0727,1003",ハナトラノオ,hanatoranoo,
277,"0728,0801,0802,0823",オシロイバナ,oshiroibana,
278,0729,サボテン,saboten,
279,0730,ニチニチソウ,nichinichisou,
280,"0802,0828,0901",キキョウ,kikyou,
281,"0802,0803,0813,0819",カンナ,canna,
282,"0803,0821,1105",マツバボタン,matsubabotan,
283,"0803,0913,1020",ブッドレア,butterfly-bush,
284,0803,サントリナ,cotton-lavender,
285,0804,トリトマ,tritoma,
286,0805,エリカ,erica,
287,0805,ムラサキツユクサ,murasakitsuyukusa,
288,0806,ジニア,zinnia,
289,"0806,0927",トレニア,bluewings,
290,0807,ザクロ（花）,zakuro,
291,"0808,0818,1005",クレオメ,cleome,
292,"0809,0812",キョウチクトウ,kyouchikutou,
293,"0809,1029",ストレプトカーパス,streptocarpus,
294,"0811,0921,1010",サンビタリア,sanvitalia,
295,"0812,0907",クロユリ,kuroyuri,
296,"0812,1107",タンジー,tansy,
297,"0813,0821",サギソウ,sagisou,
298,"0813,0819,0830,1019",アキノキリンソウ,goldenrod,
299,"0814,0922",センニチコウ,sennichikou,",7,8,"
300,0814,ウスベニアオイ,usubeniaoi,
301,0814,アンモビウム,winged-everlasting,
302,"0816,0905,1006",オミナエシ,ominaeshi,
303,"0816,0904,1023",ダチュラ,datura,
304,"0818,1002,1011",コリウス,coleus,
305,0821,ブルーベリー,blueberry,
306,0822,クルクマ,curcuma,
307,"0824,0829,0905",ケイトウ,keitou,",8,"
308,"0825,1028,1119",ワレモコウ,waremokou,",4,"
309,"0826,1014",ユウゼンギク,new-york-aster,",8,"
310,"0827,0908,0918",ホウセンカ,housenka,
311,0827,ユウガオ,yuugao,
312,0827,ヒペリカム,hypericum,",19,"
313,0829,サルスベリ,sarusuberi,
314,"0829,0831",クローバー,clover,
315,"0829,0910",シュウカイドウ,shuukaidou,
316,"0831,0916,1020",リンドウ,rindou,",1,14,16,"
317,"0831,0919,1004",サルビア,salvia,",4,6,8,"
318,"0901,1223",スパティフィラム,spathiphyllum,
319,"0904,0924,1017",ブドウ,grape,
320,"0906,1011",ミソハギ,misohagi,
321,0907,オレンジ,orange,
322,"0908,0913,0930",ゼフィランサス,zephyranthes,
323,0909,キク,kiku,",14,15,16,"
324,"0909,0928,1016",シオン,shion,
325,0909,ヘクソカズラ,hekusokazura,
326,"0911,1122",アロエ,aloe,
327,0912,アイ,ai,
328,"0914,0930,1008,1015",シュウメイギク,shuumeigiku,
329,"0915,1022",ススキ,susuki,
330,"0916,0922",アカネ,akane,
331,0917,フウセンカズラ,fuusenkazura,
332,"0917,1015,1025",ミセバヤ,misebaya,
333,"0920,0923,1115",ヒガンバナ,higanbana,
334,"0920,1006,1026",ヤブラン,yaburan,
335,0921,コルチカム,colchicum,
336,"0922,1030",サワギキョウ,sawagikyou,
337,"0924,1001",ハギ,hagi,
338,"0926,1001,1013",モミジアオイ,momijiaoi,
339,0927,コスモス,cosmos,",7,"
340,"0928,1106",フジバカマ,fujibakama,
341,"0928,1012",ヘレニウム,helenium,
342,"0930,1215",モンステラ,monstera,",3,20,"
343,"1003,1025",カエデ,kaede,
344,1007,キンモクセイ,kinmokusei,
345,1009,ホトトギス,hototogisu,
346,"1010,1226",ブバルディア,bouvardia,
347,"1013,1017,1125",ネリネ,nerine,
348,"1017,1104",ムラサキシキブ,murasakishikibu,
349,"1018,1129",ベゴニア,begonia,
350,"1019,1109,1212",ハナキリン,hanakirin,
351,"1021,1108",ステルンベルギア,sternbergia,
352,"1023,1101",アケビ,akebi,
353,"1026,1121",イチョウ,ichou,
354,"1027,1109",ランタナ,lantana,
355,1028,パキラ,pachira,",3,9,20,"
356,"1030,1217",シーマニア,bolivian-sunset,
357,"1031,1202",ヘリコニア,heliconia,
358,1101,カリン,karin,
359,"1102,1107,1231",ユリオプスデージー,gray-leaved-euryops,
360,1104,サフラン,saffron,
361,"1107,1118",ユーカリ,eucalyptus,
362,"1108,1207,1225",ヒイラギ,hiiragi,
363,"1109,1126,1230",マネッチア,manettia,
364,1110,フヨウ,fuyou,
365,"1111,1120",カラスウリ,karasuuri,
366,1112,レモン,lemon,
367,1114,コウテイダリア,kouteidahlia,
368,"1116,1213,1226",クリスマスローズ,christmasrose,
369,1118,ヒメジョオン,himejyoon,
370,"1120,1130,1228",ツワブキ,tsuwabuki,
371,1122,アングレカム,angraecum,
372,"1123,1216",ストレリチア,strelitzia,",13,"
373,"1123,1206",ピラカンサ,firethorn,
374,"1127,1204,1230",ハボタン,habotan,",2,"
375,"1201,1205",ドラセナ,dracaena,",3,20,"
376,1204,サザンカ,sazanka,
377,"1205,1208",ナンテン,nanten,
378,1209,ポインセチア,poinsettia,",2,"
379,"1209,1220",ビワ,biwa,
380,1210,シャコバサボテン,shakobasaboten,
381,"1213,1227",ヤツデ,yatsude,
382,1220,パイナップル,pineapple,
383,1221,プラタナス,platanus,
384,1228,ザクロ,zakuro,
385,1229,オドントグロッサム,odontoglossum,
